n,dfj_z,dfj_time,dfjlr_time,dfjlr_z,gap_dfj,mtz_z,mtzlr_z,mtz_time,mtzlr_time,gap_mtz,gg_z,gg_time,gglr_z,gglr_time,gap_gg
8,186.0,0.010962963104248,0.001212120056152,186.0,0.0,186.0,169.99999999999997,0.020240068435668,0.0018329620361320002,-0.16000000000000028,186.0,0.021398782730102,169.99999999999997,0.000996828079223,-0.16000000000000028
16,150.0,5.026190042495727,2.057190179824829,150.0,0.0,150.0,146.8,0.028218030929565003,0.002579927444458,-0.03199999999999989,150.0,0.10377883911132801,146.8,0.0024938583374020003,-0.03199999999999989
32,,inf,inf,,,199.0,193.1290322580645,0.185658931732177,0.010854959487915001,-0.05870967741935487,199.0,0.317502975463867,193.1290322580645,0.005894184112548001,-0.05870967741935487
64,,inf,inf,,,203.0,203.0,0.513411045074462,0.027505159378051,0.0,203.0,2.9126641750335693,203.0,0.030205011367797,0.0
128,,inf,inf,,,233.0,232.01574803149606,7.676297903060913,0.31340909004211404,-0.009842519685039406,233.0,57.61018681526184,232.01574803149606,0.259999990463256,-0.009842519685039406
256,,inf,inf,,,299.0,299.0,22.735465049743652,0.800100803375244,0.0,299.0,163.82488703727722,299.0,0.9950308799743651,0.0
